Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences,ITL1 region,ITL2 region
2025/26,1,Avon and Somerset,Absconding from lawful custody,Miscellaneous crimes against society,Miscellaneous crimes against society,80,3,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,4,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,3,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated burglary - residential (home),Theft offences,Residential burglary,29B,20,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated burglary - residential (unconnected building),Theft offences,Residential burglary,29C,3,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated Burglary Business and Community,Theft offences,Non-residential burglary,31A,3,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated Burglary Residential,Theft offences,Residential burglary,29A,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aggravated vehicle taking,Theft offences,Vehicle offences,37.2,3,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Aiding suicide,Miscellaneous crimes against society,Miscellaneous crimes against society,76,1,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,13,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,108,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assault with injury,Violence against the person,Violence with injury,8N,2631,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S,73,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D,215,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assault without injury,Violence against the person,Violence without injury,105A,5909,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,260,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Assaults on emergency workers (other than constables),Violence against the person,Violence with injury,8T,24,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted Burglary Business and Community,Theft offences,Non-residential burglary,30D,84,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted Burglary Residential,Theft offences,Residential burglary,28F,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted distraction burglary - residential (home),Theft offences,Residential burglary,28L,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted distraction burglary - residential (unconnected building),Theft offences,Residential burglary,28P,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted Distraction Burglary Residential,Theft offences,Residential burglary,28H,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted murder,Violence against the person,Violence with injury,2,9,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted residential burglary of a home,Theft offences,Residential burglary,28J,145,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Attempted residential burglary of a unconnected building,Theft offences,Residential burglary,28N,51,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Bail offences,Miscellaneous crimes against society,Miscellaneous crimes against society,83,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Bigamy,Miscellaneous crimes against society,Miscellaneous crimes against society,26,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Blackmail,Theft offences,Other theft offences,35,235,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Burglary Business and Community,Theft offences,Non-residential burglary,30C,503,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Burglary Residential,Theft offences,Residential burglary,28E,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing death by aggravated vehicle taking,Violence against the person,Death or serious injury - unlawful driving,37.1,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Death or serious injury - unlawful driving,4.6,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Death or serious injury - unlawful driving,4.8,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Death or serious injury - unlawful driving,4.9,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Death or serious injury - unlawful driving,4.4,2,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,8,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Child abduction,Violence against the person,Violence without injury,13,10,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Concealing an infant death close to birth,Miscellaneous crimes against society,Miscellaneous crimes against society,15,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Controlling and coercive behaviour,Violence against the person,Stalking and harassment,8U,576,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Corporate manslaughter,Violence against the person,Homicide,4.10,0,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,190,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,314,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C,794,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A,1075,South West (England),"West of England;North Somerset, Somerset and Dorset"
2025/26,1,Avon and Somerset,Dangerous driving,Miscellaneous crimes against society,Miscellaneous crimes against society,802,28,South West (England),"West of England;North Somerset, Somerset and Dorset"
