IMD Rank,IMD Decile,ITL1,ITL2
26525,8,London,Inner London - West
31203,10,London,Inner London - West
25913,8,London,Inner London - West
14807,5,London,Inner London - West
10917,4,London,Outer London - East and North East
5377,2,London,Outer London - East and North East
4400,2,London,Outer London - East and North East
4812,2,London,Outer London - East and North East
5535,2,London,Outer London - East and North East
5278,2,London,Outer London - East and North East
7410,3,London,Outer London - East and North East
9243,3,London,Outer London - East and North East
8120,3,London,Outer London - East and North East
10202,4,London,Outer London - East and North East
7452,3,London,Outer London - East and North East
8300,3,London,Outer London - East and North East
7965,3,London,Outer London - East and North East
8264,3,London,Outer London - East and North East
5192,2,London,Outer London - East and North East
8043,3,London,Outer London - East and North East
8426,3,London,Outer London - East and North East
8359,3,London,Outer London - East and North East
6841,3,London,Outer London - East and North East
6021,2,London,Outer London - East and North East
15432,5,London,Outer London - East and North East
6345,2,London,Outer London - East and North East
13927,5,London,Outer London - East and North East
10040,3,London,Outer London - East and North East
6743,2,London,Outer London - East and North East
8994,3,London,Outer London - East and North East
8514,3,London,Outer London - East and North East
10874,4,London,Outer London - East and North East
16580,5,London,Outer London - East and North East
16728,5,London,Outer London - East and North East
17151,6,London,Outer London - East and North East
5208,2,London,Outer London - East and North East
10397,4,London,Outer London - East and North East
4753,2,London,Outer London - East and North East
9631,3,London,Outer London - East and North East
7562,3,London,Outer London - East and North East
6387,2,London,Outer London - East and North East
9497,3,London,Outer London - East and North East
5459,2,London,Outer London - East and North East
7897,3,London,Outer London - East and North East
7571,3,London,Outer London - East and North East
6208,2,London,Outer London - East and North East
6763,3,London,Outer London - East and North East
9055,3,London,Outer London - East and North East
8945,3,London,Outer London - East and North East
4599,2,London,Outer London - East and North East
8843,3,London,Outer London - East and North East
8503,3,London,Outer London - East and North East
9848,3,London,Outer London - East and North East
7035,3,London,Outer London - East and North East
1545,1,London,Outer London - East and North East
10394,4,London,Outer London - East and North East
10883,4,London,Outer London - East and North East
7649,3,London,Outer London - East and North East
5811,2,London,Outer London - East and North East
13708,5,London,Outer London - East and North East
11472,4,London,Outer London - East and North East
12348,4,London,Outer London - East and North East
18866,6,London,Outer London - East and North East
12968,4,London,Outer London - East and North East
13366,4,London,Outer London - East and North East
5523,2,London,Outer London - East and North East
8025,3,London,Outer London - East and North East
8640,3,London,Outer London - East and North East
10481,4,London,Outer London - East and North East
8315,3,London,Outer London - East and North East
6646,2,London,Outer London - East and North East
7165,3,London,Outer London - East and North East
9422,3,London,Outer London - East and North East
9673,3,London,Outer London - East and North East
11202,4,London,Outer London - East and North East
8446,3,London,Outer London - East and North East
6814,3,London,Outer London - East and North East
6644,2,London,Outer London - East and North East
5699,2,London,Outer London - East and North East
6870,3,London,Outer London - East and North East
7092,3,London,Outer London - East and North East
9752,3,London,Outer London - East and North East
8110,3,London,Outer London - East and North East
8847,3,London,Outer London - East and North East
4644,2,London,Outer London - East and North East
3999,2,London,Outer London - East and North East
12032,4,London,Outer London - East and North East
6862,3,London,Outer London - East and North East
6611,2,London,Outer London - East and North East
7385,3,London,Outer London - East and North East
5725,2,London,Outer London - East and North East
11925,4,London,Outer London - East and North East
9927,3,London,Outer London - East and North East
6585,2,London,Outer London - East and North East
6771,3,London,Outer London - East and North East
10456,4,London,Outer London - East and North East
6517,2,London,Outer London - East and North East
4451,2,London,Outer London - East and North East
3580,2,London,Outer London - East and North East
12519,4,London,Outer London - East and North East
9311,3,London,Outer London - East and North East
16154,5,London,Outer London - East and North East
9532,3,London,Outer London - East and North East
10982,4,London,Outer London - East and North East
8791,3,London,Outer London - East and North East
9786,3,London,Outer London - East and North East
30546,10,London,Outer London - West and North West
25568,8,London,Outer London - West and North West
25250,8,London,Outer London - West and North West
23486,7,London,Outer London - West and North West
27394,9,London,Outer London - West and North West
29768,9,London,Outer London - West and North West
8255,3,London,Outer London - West and North West
26263,8,London,Outer London - West and North West
18894,6,London,Outer London - West and North West
11873,4,London,Outer London - West and North West
6096,2,London,Outer London - West and North West
8055,3,London,Outer London - West and North West
8961,3,London,Outer London - West and North West
3668,2,London,Outer London - West and North West
9376,3,London,Outer London - West and North West
12031,4,London,Outer London - West and North West
7980,3,London,Outer London - West and North West
7811,3,London,Outer London - West and North West
10065,3,London,Outer London - West and North West
23144,7,London,Outer London - West and North West
25507,8,London,Outer London - West and North West
7934,3,London,Outer London - West and North West
8092,3,London,Outer London - West and North West
17259,6,London,Outer London - West and North West
17297,6,London,Outer London - West and North West
4170,2,London,Outer London - West and North West
9739,3,London,Outer London - West and North West
7234,3,London,Outer London - West and North West
11364,4,London,Outer London - West and North West
12393,4,London,Outer London - West and North West
10219,4,London,Outer London - West and North West
14403,5,London,Outer London - West and North West
11057,4,London,Outer London - West and North West
2331,1,London,Outer London - West and North West
14739,5,London,Outer London - West and North West
6211,2,London,Outer London - West and North West
8072,3,London,Outer London - West and North West
22937,7,London,Outer London - West and North West
16817,5,London,Outer London - West and North West
16312,5,London,Outer London - West and North West
19763,6,London,Outer London - West and North West
17253,6,London,Outer London - West and North West
12075,4,London,Outer London - West and North West
15020,5,London,Outer London - West and North West
6827,3,London,Outer London - West and North West
6291,2,London,Outer London - West and North West
17435,6,London,Outer London - West and North West
16226,5,London,Outer London - West and North West
8818,3,London,Outer London - West and North West
30038,9,London,Outer London - West and North West
20384,7,London,Outer London - West and North West
13655,5,London,Outer London - West and North West
6645,2,London,Outer London - West and North West
26429,8,London,Outer London - West and North West
22614,7,London,Outer London - West and North West
11343,4,London,Outer London - West and North West
28185,9,London,Outer London - West and North West
8191,3,London,Outer London - West and North West
22043,7,London,Outer London - West and North West
21494,7,London,Outer London - West and North West
22508,7,London,Outer London - West and North West
13873,5,London,Outer London - West and North West
24222,8,London,Outer London - West and North West
24648,8,London,Outer London - West and North West
