ITL2,total_offences,avg_imd_by_ITL2,avg_imd_rank_by_ITL2
['Bedfordshire and Hertfordshire'],134350,,
"['Berkshire, Buckinghamshire and Oxfordshire']",172209,,
['Cambridgeshire and Peterborough'],67710,,
['Cheshire'],78319,,
['Cumbria'],37033,,
['Derbyshire and Nottinghamshire'],182667,,
"['Devon', 'Cornwall and Isles of Scilly']",121356,,
['East Yorkshire and Northern Lincolnshire'],93719,,
['Essex'],144423,,
['Gloucestershire and Wiltshire'],86098,,
['Greater Manchester'],318679,,
['Hampshire and Isle of Wight'],154879,,
"['Herefordshire, Worcestershire and Warwickshire']",39544,,
"['Inner London - West', 'Inner London - East', 'Outer London - East and North East', 'Outer London - South', 'Outer London - West and North West']",943924,,
['Inner London - West'],9179,,
['Kent'],162059,,
['Lancashire'],129008,,
"['Leicestershire, Rutland and Northamptonshire']",154482,,
['Lincolnshire'],54898,,
['Merseyside'],135000,,
['Norfolk'],59533,,
"['North Somerset, Somerset and Dorset']",51100,,
['North Yorkshire'],45020,,
"['Northumberland, Durham and Tyne & Wear']",197819,,
"['Shropshire and Staffordshire', 'Herefordshire, Worcestershire and Warwickshire']",80845,,
['Shropshire and Staffordshire'],86300,,
['South Yorkshire'],149368,,
['Suffolk'],44496,,
"['Surrey, East and West Sussex']",209001,,
['Tees Valley'],71425,,
['West Midlands'],308491,,
['West Yorkshire'],275196,,
"['West of England', 'North Somerset, Somerset and Dorset']",168349,,
